Artist,Genre,Label,Songs,MonthlyListenersMillions,StreamsPerSongMillions,SocialFollowersMillions,PromoCostMillions
Nova Reyes,Pop,Indie,24,18.4,12.6,9.8,8.5
Static Bloom,Rock,Indie,31,7.2,4.1,3.5,3.2
DJ Meridian,Electronic,Major,45,22.1,9.8,15.2,12.0
Luna Vale,Pop,Major,19,25.6,16.3,21.4,14.5
The Wildwoods,Folk,Indie,28,4.8,3.2,2.1,1.8
Cipher,Hip-Hop,Major,38,29.3,14.7,18.9,13.2
Marisol,Latin,Indie,22,11.5,8.9,7.6,4.1
Glass Harbor,Indie Rock,Indie,26,6.1,3.8,2.9,2.4
Kato Blaze,Hip-Hop,Indie,33,15.7,10.2,12.3,5.9
Aurora Finch,Pop,Major,17,13.9,11.1,8.4,9.7
Neon Prairie,Country,Major,29,9.4,5.6,4.7,6.3
Sable,R&B,Indie,21,12.8,9.5,6.2,4.8
Echo District,Electronic,Indie,35,8.6,4.9,5.1,3.6
Tidal Rose,Pop,Major,23,20.2,13.4,16.8,11.8
Bramble & Oak,Folk,Indie,30,3.9,2.7,1.6,1.2
Vex Molina,Hip-Hop,Major,41,17.3,8.8,11.5,10.4
Starling Cross,Indie Rock,Indie,25,10.6,7.4,4.9,3.9
Peri Gold,Pop,Indie,20,16.9,13.8,10.7,6.2
Midnight Cartel,Electronic,Major,37,14.2,7.1,9.3,8.9
June Alvarez,Latin,Major,27,19.8,12.9,14.6,9.1
